PARTICIPANT_A,PARTICIPANT_B,MI,H_A,H_B,SU
0,2,0.4036186047505492,1.9839734691013298,2.048392602711086,0.20018946571938392
0,3,0.5342760367711886,1.9839734691013298,2.461362337740018,0.24037600756682576
0,4,0.3638865025253289,1.9839734691013298,2.165514096302948,0.17538864584590028
0,7,0.31643957339494505,1.9839734691013298,2.006200382924986,0.15860941659684763
0,13,0.5473823842134631,1.9839734691013298,2.529228244936668,0.2425694302609469
0,23,0.4482038428541898,1.9839734691013298,2.030619115184075,0.22328733660726863
0,24,0.3726785240668816,1.9839734691013298,1.8545442206684266,0.19417835434763142
0,26,0.5339881225298978,1.9839734691013298,2.3125612494878265,0.24856688354900217
0,27,0.3616389677079203,1.9839734691013298,1.9618283284220008,0.18330315928940527
0,28,0.43403526454560376,1.9839734691013298,2.1280463004554995,0.21110563123210943
0,33,0.37580955357063506,1.9839734691013298,2.1012344978062085,0.18398551878626593
0,35,0.5288449315309842,1.9839734691013298,2.2845224783811124,0.24778982481775427
0,37,0.43298110168834525,1.9839734691013298,2.1832471164474962,0.2078033033287684
0,38,0.4763024558173275,1.9839734691013298,2.0780552965655783,0.23451456564913206
0,41,0.4537944665034518,1.9839734691013298,2.1562569139335697,0.2192121812172241
0,48,0.5220428347157179,1.9839734691013298,2.2838051086474382,0.24464382357488326
1,9,1.0595976810011447,2.663045984540795,2.0670480253093397,0.44802394150923713
1,12,1.0243362823695463,2.663045984540795,2.061188127889987,0.4336517869316556
1,16,1.1465091427805252,2.663045984540795,2.036971211117537,0.4878744460082485
1,19,1.3867103951383237,2.663045984540795,2.4764967586979685,0.5396240344387004
2,3,0.5689557318034784,2.048392602711086,2.461362337740018,0.2523222389314868
2,7,0.39881184604222775,2.048392602711086,2.006200382924986,0.19672102598464067
2,8,0.7061637236698066,2.048392602711086,2.3698083836434574,0.3196612041193998
2,13,0.8212605093975626,2.048392602711086,2.529228244936668,0.35881543567312857
2,23,0.4860393752528662,2.048392602711086,2.030619115184075,0.23831232115394396
2,24,0.33315010121238986,2.048392602711086,1.8545442206684266,0.17071764995873986
2,26,0.5458329565066344,2.048392602711086,2.3125612494878265,0.250327325170575
2,28,0.41798250253365493,2.048392602711086,2.1280463004554995,0.2001621535594545
2,37,0.4640206726152056,2.048392602711086,2.1832471164474962,0.21931010360564024
2,41,0.44199193087135763,2.048392602711086,2.1562569139335697,0.21023960695019867
2,48,0.5914523063935986,2.048392602711086,2.2838051086474382,0.2730495447347098
3,4,0.7237549114559411,2.461362337740018,2.165514096302948,0.3128481695040746
3,8,0.8153111492051216,2.461362337740018,2.3698083836434574,0.3375211501412831
3,20,0.777006322538559,2.461362337740018,2.104643028413398,0.34034402512896733
3,23,0.6823235042262209,2.461362337740018,2.030619115184075,0.30379622506324316
3,24,0.5255230854127484,2.461362337740018,1.8545442206684266,0.2435284815835044
3,26,0.7389685900006462,2.461362337740018,2.3125612494878265,0.3095854286305222
3,27,0.6098637160606715,2.461362337740018,1.9618283284220008,0.2757573715852712
3,28,0.6891038713680211,2.461362337740018,2.1280463004554995,0.3003018147623332
3,33,0.5856203281559804,2.461362337740018,2.1012344978062085,0.25670483247326886
3,35,0.7830612927094549,2.461362337740018,2.2845224783811124,0.3299959114260428
3,37,0.707658297596695,2.461362337740018,2.1832471164474962,0.3047224118956569
3,38,0.6123407566271227,2.461362337740018,2.0780552965655783,0.26978824420097386
3,41,0.6875750462686244,2.461362337740018,2.1562569139335697,0.29780499811430877
3,48,0.8445726391925881,2.461362337740018,2.2838051086474382,0.3559716906662882
4,7,0.4298267882516911,2.165514096302948,2.006200382924986,0.2060672130808146
4,8,0.6418136745907254,2.165514096302948,2.3698083836434574,0.28302890364625616
4,13,0.6668543261518014,2.165514096302948,2.529228244936668,0.284085590936061
4,23,0.5049075429517847,2.165514096302948,2.030619115184075,0.24065372451455416
4,24,0.34748534405112597,2.165514096302948,1.8545442206684266,0.1728757727638707
4,27,0.46380094405966465,2.165514096302948,1.9618283284220008,0.22474556086320988
4,28,0.4120610146124245,2.165514096302948,2.1280463004554995,0.19194373738099613
4,33,0.5517345447113642,2.165514096302948,2.1012344978062085,0.25862060186677555
4,38,0.40987357805153596,2.165514096302948,2.0780552965655783,0.19317397224154909
4,41,0.5088941314560697,2.165514096302948,2.1562569139335697,0.2355025892166459
4,48,0.5964169753705116,2.165514096302948,2.2838051086474382,0.2680935882086986
4,49,0.5146511200149093,2.165514096302948,2.086644478894506,0.24206581712019568
5,10,1.0192076652809092,2.66252955013599,2.0563037802969517,0.43197442838583977
5,14,1.3407610238219398,2.66252955013599,2.235957491180731,0.5474184222651495
5,17,1.6865963291580477,2.66252955013599,2.60338637012308,0.6405709299950506
5,21,0.984937796157456,2.66252955013599,2.171220280175014,0.4075253501872211
6,11,1.5660174436282492,2.6450167668683755,2.606413783122724,0.5964155590445364
6,15,1.1684048812845569,2.6450167668683755,2.4079954369307415,0.4624587608975452
6,18,1.309347340934492,2.6450167668683755,2.3157504975660665,0.5278809793483693
6,22,0.8853361495067301,2.6450167668683755,2.0394108377334605,0.37799117597078596
7,8,0.595218991104288,2.006200382924986,2.3698083836434574,0.2720373851403611
7,23,0.3666622508669295,2.006200382924986,2.030619115184075,0.181658977340296
7,24,0.37729138045987054,2.006200382924986,1.8545442206684266,0.19545005909414684
7,26,0.5266546484294192,2.006200382924986,2.3125612494878265,0.2438915102314582
7,28,0.4804790951417102,2.006200382924986,2.1280463004554995,0.2324385223906536
7,33,0.4357141534548925,2.006200382924986,2.1012344978062085,0.21215876385474328
7,35,0.5790877729444102,2.006200382924986,2.2845224783811124,0.2699255075020788
7,37,0.445256216673799,2.006200382924986,2.1832471164474962,0.21256082895918463
7,38,0.441466218164168,2.006200382924986,2.0780552965655783,0.216179520974178
7,41,0.4448975123688028,2.006200382924986,2.1562569139335697,0.2137667635435304
7,49,0.4970557634176692,2.006200382924986,2.086644478894506,0.24289010710105485
8,13,1.2392668242874278,2.3698083836434574,2.529228244936668,0.5059226612259893
8,23,0.5521765257089236,2.3698083836434574,2.030619115184075,0.250964946408524
8,24,0.4305711505802803,2.3698083836434574,1.8545442206684266,0.2038518991718577
8,26,0.7401859951028193,2.3698083836434574,2.3125612494878265,0.31615872009140294
8,27,0.5662733602466714,2.3698083836434574,1.9618283284220008,0.2614593041329427
8,28,0.6788740585371126,2.3698083836434574,2.1280463004554995,0.30186571430913606
8,35,0.6800601206798128,2.3698083836434574,2.2845224783811124,0.2922268058889118
8,37,0.6306595018017533,2.3698083836434574,2.1832471164474962,0.2770269335786287
8,38,0.6299964633604629,2.3698083836434574,2.0780552965655783,0.28328047289923014
8,48,0.7436960082320551,2.3698083836434574,2.2838051086474382,0.3196208750314354
9,12,0.5646212387528919,2.0670480253093397,2.061188127889987,0.2735411530734831
9,16,0.5499980195119819,2.0670480253093397,2.036971211117537,0.2680289676180135
9,19,0.8604878285119644,2.0670480253093397,2.4764967586979685,0.3787737854112369
10,14,0.7108482807241461,2.0563037802969517,2.235957491180731,0.3312232111534183
10,17,0.9757105146775072,2.0563037802969517,2.60338637012308,0.4187877232951016
10,21,0.5781176883270838,2.0563037802969517,2.171220280175014,0.27350178499636596
11,18,1.3316076637246126,2.606413783122724,2.3157504975660665,0.5410659164501808
11,22,0.8538001479004611,2.606413783122724,2.0394108377334605,0.367555909909967
12,16,0.5163631936307436,2.061188127889987,2.036971211117537,0.25199761693784917
12,19,0.9302885392995233,2.061188127889987,2.4764967586979685,0.41002782808880317
13,23,0.5308170590216104,2.529228244936668,2.030619115184075,0.23282229298462942
13,26,0.7826175804248466,2.529228244936668,2.3125612494878265,0.32327616941052917
13,27,0.6003645237625167,2.529228244936668,1.9618283284220008,0.2673600360876905
13,28,0.7421245798956819,2.529228244936668,2.1280463004554995,0.31869479570618314
13,33,0.754888056724918,2.529228244936668,2.1012344978062085,0.3260529664807351
13,35,0.831831774857261,2.529228244936668,2.2845224783811124,0.3456065021513776
13,37,0.6905120424244146,2.529228244936668,2.1832471164474962,0.2930570409270405
13,38,0.6623941374282936,2.529228244936668,2.0780552965655783,0.28754216295197405
13,49,0.7162601716940972,2.529228244936668,2.086644478894506,0.3103465864628959
14,17,1.2338225698279235,2.235957491180731,2.60338637012308,0.5099131639285943
14,21,0.7105000156187231,2.235957491180731,2.171220280175014,0.3224285710626816
15,18,0.9547541363853523,2.4079954369307415,2.3157504975660665,0.4042360235392535
15,22,0.586938348996235,2.4079954369307415,2.0394108377334605,0.2639463600795281
16,19,0.7835897020489191,2.036971211117537,2.4764967586979685,0.34722289259137
17,21,0.9868514234220296,2.60338637012308,2.171220280175014,0.41337496288219566
18,22,0.6954200096931988,2.3157504975660665,2.0394108377334605,0.3193544193445459
20,23,0.4984642950967961,2.104643028413398,2.030619115184075,0.2410799014851121
20,24,0.4704536475127865,2.104643028413398,1.8545442206684266,0.23765162793039882
20,28,0.4710139981533904,2.104643028413398,2.1280463004554995,0.22256015575764432
20,33,0.3962195775217344,2.104643028413398,2.1012344978062085,0.18841232301781777
20,35,0.5483836901383327,2.104643028413398,2.2845224783811124,0.24988061593458913
20,37,0.518097516008922,2.104643028413398,2.1832471164474962,0.24165615186287842
20,41,0.6170351117069077,2.104643028413398,2.1562569139335697,0.2896266610602621
20,49,0.5095028472377222,2.104643028413398,2.086644478894506,0.24312474214634813
23,24,0.32418612651226336,2.030619115184075,1.8545442206684266,0.16688416856025376
23,26,0.5483676146430193,2.030619115184075,2.3125612494878265,0.25251892327729514
23,27,0.4177863413079699,2.030619115184075,1.9618283284220008,0.20928833614431508
23,37,0.4503373805145223,2.030619115184075,2.1832471164474962,0.21374071019817625
23,38,0.3561427072447876,2.030619115184075,2.0780552965655783,0.17336136746504885
23,49,0.43082767754713297,2.030619115184075,2.086644478894506,0.20927864719020964
24,26,0.45817614784005295,1.8545442206684266,2.3125612494878265,0.2199013925236084
24,27,0.27746755151208924,1.8545442206684266,1.9618283284220008,0.1454090490081841
24,35,0.40780400190211363,1.8545442206684266,2.2845224783811124,0.19705118644053665
24,37,0.407097235396642,1.8545442206684266,2.1832471164474962,0.20164352310856148
24,38,0.3049943361834565,1.8545442206684266,2.0780552965655783,0.1551108038572788
24,41,0.4134675758658072,1.8545442206684266,2.1562569139335697,0.20617705141186804
24,49,0.43376070302646114,1.8545442206684266,2.086644478894506,0.2201166886906806
25,31,0.8732233562635507,2.3712774683225484,2.342998725264747,0.37045914172418376
25,36,0.6076817172804737,2.3712774683225484,1.9244036455235438,0.2829268286799773
25,42,0.7939524309802234,2.3712774683225484,2.141626518415311,0.35185877355841105
25,45,0.7013973857412238,2.3712774683225484,2.011323352512478,0.3200827154536903
26,27,0.520183403656751,2.3125612494878265,1.9618283284220008,0.24339541081845897
26,28,0.5528443900623793,2.3125612494878265,2.1280463004554995,0.2489949331682936
26,35,0.7269205739419569,2.3125612494878265,2.2845224783811124,0.31625291901260805
26,37,0.5961958137982457,2.3125612494878265,2.1832471164474962,0.2652229656030773
26,41,0.6730231583347234,2.3125612494878265,2.1562569139335697,0.3012085673315678
26,48,0.94277782054982,2.3125612494878265,2.2838051086474382,0.41022744798449995
26,49,0.6015762225939218,2.3125612494878265,2.086644478894506,0.27349310750017247
27,28,0.3911202290692199,1.9618283284220008,2.1280463004554995,0.19126269852265182
27,33,0.45779102000888566,1.9618283284220008,2.1012344978062085,0.22534282121049976
27,35,0.5211143365112271,1.9618283284220008,2.2845224783811124,0.24544101993473813
27,37,0.4953980520570485,1.9618283284220008,2.1832471164474962,0.23902969132695512
27,38,0.41142619829308374,1.9618283284220008,2.0780552965655783,0.2036822029963047
27,41,0.567393945237292,1.9618283284220008,2.1562569139335697,0.2755620206213794
27,48,0.5071437268291035,1.9618283284220008,2.2838051086474382,0.23890132501837508
27,49,0.367961586913124,1.9618283284220008,2.086644478894506,0.18177797131211257
28,33,0.42572659634523247,2.1280463004554995,2.1012344978062085,0.20132340066907445
28,38,0.45035096243363565,2.1280463004554995,2.0780552965655783,0.21414174244035922
28,41,0.567614695243067,2.1280463004554995,2.1562569139335697,0.26497410049629616
28,48,0.5523953614207683,2.1280463004554995,2.2838051086474382,0.25041430918594193
28,49,0.5081771827119226,2.1280463004554995,2.086644478894506,0.24114565424431644
29,32,0.9721883631838466,2.481840791363644,2.208747525529466,0.41452726076279994
29,39,0.83338483650449,2.481840791363644,2.1875434516802765,0.356957060343021
29,43,0.6786235487457611,2.481840791363644,2.050556252305743,0.29945458979311035
29,46,0.8254879913244724,2.481840791363644,2.057547442033673,0.3637001062174716
30,40,0.7208655288954338,2.4643916873478773,2.1273782514044446,0.31398155330548105
30,44,0.7479144296476146,2.4643916873478773,2.085179350798285,0.32878459238318486
30,47,0.6822834338661259,2.4643916873478773,2.0830014696609163,0.3000767298136683
31,42,0.6497681231519463,2.342998725264747,2.141626518415311,0.2897758844254064
31,45,0.5466776804344224,2.342998725264747,2.011323352512478,0.25109657515894557
32,39,0.6847383998757246,2.208747525529466,2.1875434516802765,0.3115073153371287
32,43,0.5002851719257027,2.208747525529466,2.050556252305743,0.23491406014715982
32,46,0.6143808997259047,2.208747525529466,2.057547442033673,0.28801613784188596
33,35,0.590654185791067,2.1012344978062085,2.2845224783811124,0.2693510785016372
33,38,0.39804994758673207,2.1012344978062085,2.0780552965655783,0.19048688517497994
33,41,0.4878778335411368,2.1012344978062085,2.1562569139335697,0.2291855867029316
34,40,0.6321383339371,2.2557473267031547,2.1273782514044446,0.2884418083271179
34,47,0.612718580654291,2.2557473267031547,2.0830014696609163,0.28244021924834983
35,37,0.680624071615293,2.2845224783811124,2.1832471164474962,0.30468181367414626
35,38,0.5510853255470811,2.2845224783811124,2.0780552965655783,0.2526420634661649
35,41,0.6590263814925393,2.2845224783811124,2.1562569139335697,0.2968066293196487
35,48,0.574090155291198,2.2845224783811124,2.2838051086474382,0.25133493356355935
35,49,0.7201051350823309,2.2845224783811124,2.086644478894506,0.3294795838826275
36,42,0.4655601861477596,1.9244036455235438,2.141626518415311,0.2289998683614098
36,45,0.484782072241624,1.9244036455235438,2.011323352512478,0.24634944064135367
37,41,0.5841555701166719,2.1832471164474962,2.1562569139335697,0.2692268821630177
37,49,0.4817638170708962,2.1832471164474962,2.086644478894506,0.22565622864826324
38,41,0.5237084184347376,2.0780552965655783,2.1562569139335697,0.24736410184217472
38,48,0.41035409032057896,2.0780552965655783,2.2838051086474382,0.1881555355738345
39,43,0.5398969062261118,2.1875434516802765,2.050556252305743,0.2547825412027601
39,46,0.5173277080299066,2.1875434516802765,2.057547442033673,0.24372986161307203
40,44,0.4160703824256379,2.1273782514044446,2.085179350798285,0.19753813322722344
40,47,0.49235084555490466,2.1273782514044446,2.0830014696609163,0.23387479428117905
41,48,0.49787838455254346,2.1562569139335697,2.2838051086474382,0.22426640980259402
41,49,0.4797937357338791,2.1562569139335697,2.086644478894506,0.22616303859660336
42,45,0.4874438801469236,2.141626518415311,2.011323352512478,0.23474585309069781
43,46,0.38956165479187105,2.050556252305743,2.057547442033673,0.1896552199150429
44,47,0.6192130343286205,2.085179350798285,2.0830014696609163,0.29711428606420337
48,49,0.5366427830109137,2.2838051086474382,2.086644478894506,0.24557783919559437
